z_20,z_48,gender
2.81,2.98,F
3.21,1.82,F
2.56,1.68,F
2.32,1.13,F
1.47,2.15,F
1.57,1.68,F
1.51,1.61,F
1.70,1.34,F
1.85,1.34,F
1.36,1.36,F
1.30,1.44,F
1.00,1.53,F
0.92,1.61,F
0.84,1.46,F
0.89,1.27,F
1.02,1.11,F
1.14,0.75,F
1.41,0.68,F
1.15,0.60,F
1.12,0.50,F
0.94,0.65,F
0.84,0.73,F
0.90,0.82,F
0.98,0.92,F
0.94,1.01,F
0.83,0.99,F
0.83,0.92,F
0.79,1.22,F
0.71,1.24,F
0.65,1.10,F
0.55,1.11,F
0.49,1.02,F
0.16,1.13,F
0.07,1.24,F
0.66,0.96,F
0.75,0.84,F
0.56,0.87,F
0.43,0.68,F
0.61,0.68,F
0.65,0.69,F
0.55,0.57,F
0.53,0.53,F
0.18,0.76,F
0.06,0.86,F
0.05,0.73,F
-0.33,0.59,F
0.07,0.45,F
0.31,0.49,F
0.42,0.43,F
0.57,0.30,F
0.50,0.20,F
0.38,0.06,F
0.32,-0.09,F
0.05,0.32,F
0.17,0.25,F
0.02,0.13,F
0.01,0.03,F
0.10,0.03,F
0.10,-0.05,F
0.21,-0.25,F
-0.05,-0.28,F
-0.05,-0.10,F
-0.70,0.15,F
-0.96,-0.03,F
-1.24,-0.07,F
-1.24,-0.18,F
-1.89,-0.56,F
-1.29,-0.64,F
-1.17,-0.79,F
-1.07,-0.59,F
-1.07,-0.69,F
-1.02,-0.71,F
-0.69,-0.53,F
-0.44,-0.31,F
-0.45,-0.41,F
-0.44,-0.47,F
-0.44,-0.59,F
-0.29,-0.52,F
0.14,-0.47,F
0.02,-1.55,F
-0.60,-1.19,F
-0.68,-1.49,F
-1.22,-1.02,F
-1.41,-1.03,F
-1.86,-1.38,F
-0.55,-0.67,F
-0.75,-0.96,F
-2.56,-2.33,M
-1.95,-1.89,M
-1.82,-1.87,M
-1.51,-2.01,M
-1.30,-2.28,M
-1.06,-1.97,M
-1.46,-1.77,M
-1.50,-1.55,M
-1.42,-1.32,M
-1.63,-1.25,M
-1.64,-1.05,M
-2.04,-1.23,M
-1.99,-1.02,M
-1.89,-0.34,M
-2.43,-1.51,M
-1.13,-1.37,M
-1.50,-0.81,M
-1.66,-0.81,M
-1.15,-1.16,M
-1.17,-1.07,M
-1.07,-1.07,M
-1.00,-1.17,M
-0.80,-1.66,M
-0.33,-1.57,M
0.19,-1.53,M
-0.09,-1.35,M
-0.70,-1.18,M
-0.57,-1.03,M
1.90,2.00,M
1.43,2.03,M
2.20,1.81,M
1.69,1.23,M
1.77,0.97,M
1.33,1.39,M
1.08,1.49,M
1.14,1.69,M
0.98,1.47,M
0.52,1.54,M
0.55,1.34,M
0.52,0.85,M
0.58,0.87,M
0.55,0.91,M
0.53,0.91,M
0.53,0.90,M
0.50,0.74,M
0.80,0.49,M
0.69,0.27,M
0.61,0.22,M
0.55,0.09,M
0.58,0.01,M
0.51,-0.12,M
0.44,-0.22,M
0.50,-0.43,M
0.20,-0.47,M
0.13,-0.43,M
0.22,-0.97,M
0.22,-1.04,M
-0.12,-0.90,M
0.11,-0.61,M
-0.20,-0.75,M
-0.02,-0.16,M
0.25,-0.02,M
0.27,0.11,M
0.28,0.32,M
0.31,0.45,M
0.11,0.53,M
0.12,0.68,M
0.02,0.70,M
0.04,0.38,M
0.08,0.31,M
-0.10,0.50,M
-0.28,0.50,M
-0.26,0.28,M
-0.26,0.18,M
-0.09,0.24,M
-0.04,0.10,M
-0.24,0.06,M
-0.28,-0.07,M
-0.21,-0.07,M
-0.59,0.04,M
-0.54,0.16,M
-0.66,0.33,M
-0.85,-0.03,M
-0.96,-0.10,M
-0.98,-0.30,M
-0.98,-0.32,M
-1.10,-0.39,M
-0.82,-0.38,M
-1.23,-0.73,M
-0.80,-0.57,M
-0.40,-0.17,M
-0.32,-0.28,M
-0.25,-0.24,M
-0.25,-0.34,M
-0.34,-0.62,M
-0.48,-0.72,M
-0.47,-0.81,M
-0.61,-0.76,M
-0.62,-0.87,M
-0.55,-0.51,M
-0.52,-0.39,M
-0.54,-0.38,M
-0.83,-0.96,M
-0.79,-0.96,M
-0.80,-0.90,M
-0.78,-0.95,M
