language,country
British Sign Language,UK
Cantonese,China
Croatian,Croatia
Danish,Denmark
English (American),USA
German,Germany
Hebrew,Israel
Italian,Italy
Mandarin (Beijing),China
Norwegian,Norway
Russian,Russia
Spanish (Mexican),Mexico
Swedish,Sweden
Turkish,Turkey
French (Quebecois),Canada
Slovak,Slovakia
English (British),UK
American Sign Language,USA
Greek (Cypriot),Cyprus
Kigiriama,Kenya
Kiswahili,Kenya
Czech,Czech Republic
English (Australian),Australia
Latvian,Latvia
Korean,Korea
French (French),France
Spanish (European),Spain
Portuguese (European),Portugal
Mandarin (Taiwanese),Taiwan
